Template_Name,Vehicle_ID,Vehicle_Name,Template_ID,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
Manta glider,V-BIO-MG-AER-T5,Aetherion Manta glider Mk V,BIO-MG,AER,Aetherion Guild,5,Military,Mixed,Organic Craft,Manta glider,Light,organic glide mount,Bio / Fantasy,Adaptive / Organic,Muscle-fin glide,Antimatter / Gravitic,Living tissue,1,2,1,0.1,4.0,2.2,1.8,1.24,144,77,465,0.0,0.0,632,14.7,9,7,7,4,5,35,4,6,479,8.2,Rare,Restricted,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-29-T5,Long-Range Tankage Mk V,5216,89590,123988,"Manta glider base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-345,Siege Beam Mk 5-L,WL-340,Siege Beam Mk 4-L,100416,10.5,19.5,NAVY,SEC,restricted,34,Uncommon,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,23.5,Line,24798,34717,Green,typeclasses.vehicles.Vehicle,vehicle/mixed/bio-mg,aetherion-manta-glider-mk-v,mixed,organic-craft,manta-glider,organic-glide-mount,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Mini-sub,V-SUB-MS-AER-T5,Aetherion Mini-sub Mk V,SUB-MS,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Mini-sub,Light,recon / salvage,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,2,3,2,1.54,8.5,2.8,3.1,16.2,74,67,2480,0.0,0.0,2163,25.9,7,8,6,6,4,48,4,7,862,9.9,Rare,Restricted,OPT-17-T5,Ghost Scanner Mk V,11567,OPT-32-T5,Science Lab Module Mk V,17296,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,167217,202884,"Mini-sub base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-100,Missile Rack Mk 4-L,WL-215,Torpedo Tube Mk 3-L,29724,11.2,20.2,NAVY,SEC,restricted,34,Uncommon,VEN-031,Pelagic Foundry 1,yard,Prosperity,Tier 2 - financed asset,Military,Moderate,24.2,Scout,40577,56808,Regular,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-ms,aetherion-mini-sub-mk-v,submersible,undersea-craft,mini-sub,recon-salvage,military,rare,restricted,uncommon,prosperity,scout,,,,upsert,True
Mobile shipyard,V-CAP-SY-AER-T5,Aetherion Mobile shipyard Mk V,CAP-SY,AER,Aetherion Guild,5,Military,Space,Capital Ships,Mobile shipyard,Titanic,repair / fabrication megaship,Epic Space Opera,Vacuum,Capital-grade drives,Antimatter / Gravitic,Citadel hull,1785,2411,7200,185107.5,888.3999999999999,227.3,163.5,567000.0,128,0,0,4.1,0.3,342154,297.9,4,9,3,12,8,13892,16,26,737634,63819.9,Legendary,Sovereign,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-23-T5,Drone Rack Mk V,8165,OPT-32-T5,Science Lab Module Mk V,17296,34843512,34884076,"Mobile shipyard base frame in the capital ships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,590.2,601.2,CIV,DRIFT,civilian,60,Rare,VEN-007,Guild Forge 1,shipyard,Fleet,Tier 5 - fleet budget,Military,Very High,2456.3,Siege,6279134,13953630,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/cap-sy,aetherion-mobile-shipyard-mk-v,space,capital-ships,mobile-shipyard,repair-fabrication-megaship,military,legendary,sovereign,rare,fleet,siege,,,,upsert,True
Mobile workshop,V-HUV-MW-AER-T5,Aetherion Mobile workshop Mk V,HUV-MW,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Mobile workshop,Light,repair / support,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,2,3,4,1.54,5.8,3.0,2.1,3.87,172,35,0,0.0,0.0,835,4.0,9,7,5,4,4,44,4,8,412,8.5,Rare,Restricted,OPT-24-T5,Smuggler's Compartments Mk V,6124,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-31-T5,Probe Bay Mk V,5670,57281,84178,"Mobile workshop base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,10.8,19.8,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Military,Low,23.8,Line,16836,16836,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-mw,aetherion-mobile-workshop-mk-v,surface,hover-utility,mobile-workshop,repair-support,military,rare,restricted,uncommon,crew,line,,,,upsert,True
Monoskiff,V-PHV-MS-AER-T5,Aetherion Monoskiff Mk V,PHV-MS,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Monoskiff,Light,personal skiff,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,1,0.23,2.9,0.9,0.4,0.24,85,21,0,0.0,0.0,153,0.9,10,5,7,4,4,18,2,4,154,4.1,Uncommon,Civilian,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-29-T5,Long-Range Tankage Mk V,5216,8398,42342,"Monoskiff base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,5.7,6.7,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.7,Line,9315,8468,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-ms,aetherion-monoskiff-mk-v,surface,personal-lift,monoskiff,personal-skiff,military,uncommon,civilian,common,crew,line,,,,upsert,True
Orbital shuttle,V-ORB-OS-AER-T5,Aetherion Orbital shuttle Mk V,ORB-OS,AER,Aetherion Guild,5,Military,Orbital,Orbital Craft,Orbital shuttle,Medium,surface-to-orbit lift,Hard Sci-Fi,Flight / Vacuum,Rocket / gravitic,Antimatter / Gravitic,Orbital frame,2,3,14,3.29,12.4,7.2,4.1,24.3,265,0,0,6.6,0.0,18972,12.4,9,7,5,6,5,96,4,7,1298,10.8,Rare,Restricted,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-32-T5,Science Lab Module Mk V,17296,274521,306559,"Orbital shuttle base frame in the orbital craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-346,Siege Beam Mk 5-M,WL-336,Siege Beam Mk 3-M,142150,13.2,22.2,NAVY,SEC,restricted,34,Uncommon,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,26.2,Line,61312,85837,Regular,typeclasses.vehicles.Spacecraft,vehicle/orbital/orb-os,aetherion-orbital-shuttle-mk-v,orbital,orbital-craft,orbital-shuttle,surface-to-orbit-lift,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Ornithopter,V-AIR-OR-AER-T5,Aetherion Ornithopter Mk V,AIR-OR,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Ornithopter,Light,recon / light transport,Aviation / Sci-Fi,Flight,Flapping wings + turbine,Antimatter / Gravitic,Aero hull,1,2,1,0.35,5.9,6.3,1.9,2.42,265,0,0,0.0,0.0,1352,2.9,10,6,7,4,4,27,4,6,407,8.4,Rare,Restricted,OPT-23-T5,Drone Rack Mk V,8165,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-31-T5,Probe Bay Mk V,5670,71247,100185,"Ornithopter base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,10.1,19.1,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,23.1,Scout,20037,28052,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/air-or,aetherion-ornithopter-mk-v,aerial,atmospheric-craft,ornithopter,recon-light-transport,military,rare,restricted,uncommon,prosperity,scout,,,,upsert,True
Palanquin walker,V-WKR-PW-AER-T5,Aetherion Palanquin walker Mk V,WKR-PW,AER,Aetherion Guild,5,Military,Surface,Walker Frames,Palanquin walker,Light,luxury / ceremonial,Fantasy / Courtly,Walker,Servo limbs,Antimatter / Gravitic,Articulated frame,1,2,7,0.51,5.5,3.2,4.7,5.01,81,11,0,0.0,0.0,563,6.4,8,6,6,6,4,47,4,6,388,8.7,Rare,Restricted,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-31-T5,Probe Bay Mk V,5670,65897,86763,"Palanquin walker base frame in the walker frames family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,11.1,20.1,HOUSE,CIV,civilian,34,Uncommon,VEN-055,House Registry Yard 1,court yard,Crew,Tier 1 - payroll purchase,Military,Low,24.1,Line,17353,17353,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/wkr-pw,aetherion-palanquin-walker-mk-v,surface,walker-frames,palanquin-walker,luxury-ceremonial,military,rare,restricted,uncommon,crew,line,,,,upsert,True
Patrol cutter,V-MAR-PC-AER-T5,Aetherion Patrol cutter Mk V,MAR-PC,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Patrol cutter,Medium,security / customs,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,3,5,7,8.23,18.6,5.7,4.6,74.25,103,98,31,0.0,0.0,2846,18.6,7,7,4,8,4,128,6,8,1587,20.5,Rare,Restricted,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-26-T5,Boarding Tube Mk V,7484,OPT-04-T5,Hydrojet Overdrive Mk V,5897,307024,342329,"Patrol cutter base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-186,Grav Lance Mk 5-M,WL-266,Boarding Pod Rack Mk 5-M,78026,18.6,27.6,SEC,CIV,civilian,38,Uncommon,VEN-031,Pelagic Foundry 1,yard,Prosperity,Tier 2 - financed asset,Military,Moderate,31.7,Line,68466,95852,Regular,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-pc,aetherion-patrol-cutter-mk-v,maritime,sea-vessels,patrol-cutter,security-customs,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Patrol tender,V-ORB-PT-AER-T5,Aetherion Patrol tender Mk V,ORB-PT,AER,Aetherion Guild,5,Military,Orbital,Orbital Craft,Patrol tender,Medium,security / rescue,Hard Sci-Fi,Flight / Vacuum,Rocket / gravitic,Antimatter / Gravitic,Orbital frame,5,7,22,4.11,14.8,8.6,4.8,32.24,260,0,0,6.8,0.0,19604,12.7,9,7,5,6,5,119,6,7,1931,15.8,Rare,Restricted,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-26-T5,Boarding Tube Mk V,7484,OPT-02-T5,Silent Lift Coils Mk V,4082,371310,395543,"Patrol tender base frame in the orbital craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-346,Siege Beam Mk 5-M,WL-056,Coilgun Mk 3-M,99404,18.1,27.1,SEC,CIV,civilian,38,Uncommon,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,31.1,Line,79109,110752,Regular,typeclasses.vehicles.Spacecraft,vehicle/orbital/orb-pt,aetherion-patrol-tender-mk-v,orbital,orbital-craft,patrol-tender,security-rescue,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Personal air skiff,V-PFL-AS-AER-T5,Aetherion Personal air skiff Mk V,PFL-AS,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Personal air skiff,Light,commuter / scout,Sci-Fi / Adventure,Flight,Micro-thrusters,Antimatter / Gravitic,Harness / light frame,1,2,1,0.15,2.5,1.1,0.6,0.23,140,0,0,0.0,0.0,104,0.6,10,5,6,2,4,16,2,4,172,4.1,Uncommon,Civilian,OPT-15-T5,Deep Sonar Spine Mk V,5443,OPT-32-T5,Science Lab Module Mk V,17296,OPT-02-T5,Silent Lift Coils Mk V,4082,13036,39857,"Personal air skiff base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,5.4,6.4,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.4,Line,8769,7971,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-as,aetherion-personal-air-skiff-mk-v,aerial,personal-flight,personal-air-skiff,commuter-scout,military,uncommon,civilian,common,crew,line,,,,upsert,True
Planar citadel,V-ARC-CT-AER-T5,Aetherion Planar citadel Mk V,ARC-CT,AER,Aetherion Guild,5,Military,Space,Arcane Conveyances,Planar citadel,Titanic,mobile magical fortress,Epic Fantasy / Arcane,Arcane,Leyline anchor-web,Antimatter / Gravitic,Floating citadel stone,2720,3675,16800,226242.5,1549.5,537.2,10.6,1188000.0,112,39,0,0.9,0.2,2435,13.3,4,10,5,16,11,31185,26,10,1179184,133702.7,Very Rare,Sovereign,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-30-T5,Jump Beacon Mk V,18514,2071110,2118806,"Planar citadel base frame in the arcane conveyances family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,1302.8,1315.8,ARC,EXP,civilian,93,Prototype,VEN-043,Arcane Atelier 1,atelier,Corporate,Tier 4 - strategic contract,Strategic,High,3582.2,Siege,254257,741582,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/arc-ct,aetherion-planar-citadel-mk-v,space,arcane-conveyances,planar-citadel,mobile-magical-fortress,military,very-rare,sovereign,prototype,corporate,siege,,,,upsert,True
Planar cutter,V-ARC-PC-AER-T5,Aetherion Planar cutter Mk V,ARC-PC,AER,Aetherion Guild,5,Military,Mixed,Arcane Conveyances,Planar cutter,Light,dimensional insertion,Fantasy / Arcane,Arcane,Planar bifurcation keel,Antimatter / Gravitic,Phase iron,1,2,2,0.46,7.0,3.8,3.4,1.73,123,42,0,5.8,0.3,1930,11.0,9,8,9,4,5,54,4,7,869,8.3,Rare,Restricted,OPT-04-T5,Hydrojet Overdrive Mk V,5897,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-29-T5,Long-Range Tankage Mk V,5216,186915,210695,"Planar cutter base frame in the arcane conveyances family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-345,Siege Beam Mk 5-L,WL-340,Siege Beam Mk 4-L,100416,11.3,22.3,NAVY,SEC,restricted,46,Rare,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,26.3,Line,37925,58995,Regular,typeclasses.vehicles.Vehicle,vehicle/mixed/arc-pc,aetherion-planar-cutter-mk-v,mixed,arcane-conveyances,planar-cutter,dimensional-insertion,military,rare,restricted,rare,prosperity,line,,,,upsert,True
Recon disk,V-PHV-RD-AER-T5,Aetherion Recon disk Mk V,PHV-RD,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Recon disk,Personal,recon / surveillance,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.08,2.3,0.7,0.3,0.16,97,21,0,0.0,0.0,147,0.9,10,7,8,4,4,14,2,4,144,4.1,Uncommon,Civilian,OPT-16-T5,Astrogation Core Mk V,9526,OPT-29-T5,Long-Range Tankage Mk V,5216,OPT-02-T5,Silent Lift Coils Mk V,4082,5934,24758,"Recon disk base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.6,5.6,EXP,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,Civic,Low,9.6,Scout,5447,4952,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-rd,aetherion-recon-disk-mk-v,surface,personal-lift,recon-disk,recon-surveillance,military,uncommon,civilian,common,street,scout,,,,upsert,True
Refinery barge,V-MAR-RB-AER-T5,Aetherion Refinery barge Mk V,MAR-RB,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Refinery barge,Capital,industrial processing,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,22,31,24,226.24,113.6,24.8,9.3,3510.0,97,53,40,0.0,0.0,3279,20.9,5,7,4,8,4,316,8,14,8660,411.1,Very Rare,Restricted,OPT-21-T5,Field Med Bay Mk V,9979,OPT-20-T5,Luxury Cabin Suite Mk V,7031,OPT-31-T5,Probe Bay Mk V,5670,998112,1020792,"Refinery barge base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-143,Plasma Projector Mk 4-C,WL-228,Torpedo Tube Mk 5-C,225550,30.1,41.1,MINE,DRIFT,civilian,50,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,47.4,Siege,183743,285822,Veteran,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-rb,aetherion-refinery-barge-mk-v,maritime,sea-vessels,refinery-barge,industrial-processing,military,very-rare,restricted,rare,industrial,siege,,,,upsert,True
Rescue board,V-PHV-RB-AER-T5,Aetherion Rescue board Mk V,PHV-RB,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Rescue board,Personal,medical response,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,1,0.26,2.4,0.8,0.3,0.18,94,21,0,0.0,0.0,149,0.9,10,6,7,4,4,16,2,5,146,4.1,Uncommon,Civilian,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-29-T5,Long-Range Tankage Mk V,5216,6364,28329,"Rescue board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-001,Pulse Stunner Array,WL-002,Light Arc Carbine,2700,5.6,6.6,MED,CIV,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.6,Line,6232,5666,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-rb,aetherion-rescue-board-mk-v,surface,personal-lift,rescue-board,medical-response,military,uncommon,civilian,common,crew,line,,,,upsert,True
Research sub,V-SUB-RS-AER-T5,Aetherion Research sub Mk V,SUB-RS,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Research sub,Medium,science / survey,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,5,7,5,6.17,13.7,4.3,4.7,59.85,71,77,1827,0.0,0.0,2349,27.7,7,9,6,6,4,109,6,10,1821,18.9,Rare,Restricted,OPT-18-T5,Arcane Astrolabe Mk V,8845,OPT-32-T5,Science Lab Module Mk V,17296,OPT-04-T5,Hydrojet Overdrive Mk V,5897,338235,370273,"Research sub base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-256,Boarding Pod Rack Mk 3-M,WL-186,Grav Lance Mk 5-M,69990,17.6,26.6,NAVY,SEC,restricted,38,Uncommon,VEN-031,Pelagic Foundry 1,yard,Prosperity,Tier 2 - financed asset,Military,Moderate,30.7,Scout,74055,103676,Regular,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-rs,aetherion-research-sub-mk-v,submersible,undersea-craft,research-sub,science-survey,military,rare,restricted,uncommon,prosperity,scout,,,,upsert,True
Rotor harness,V-PFL-RH-AER-T5,Aetherion Rotor harness Mk V,PFL-RH,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Rotor harness,Personal,utility lift,Sci-Fi / Adventure,Flight,Ducted rotor cluster,Antimatter / Gravitic,Harness / light frame,1,2,0,0.1,1.7,0.8,0.4,0.12,110,0,0,0.0,0.0,96,0.6,10,5,6,2,4,10,2,4,149,4.1,Uncommon,Civilian,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-31-T5,Probe Bay Mk V,5670,7240,34238,"Rotor harness base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.2,6.2,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.2,Line,7532,6848,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-rh,aetherion-rotor-harness-mk-v,aerial,personal-flight,rotor-harness,utility-lift,military,uncommon,civilian,common,crew,line,,,,upsert,True
Rotor skiff,V-AIR-RS-AER-T5,Aetherion Rotor skiff Mk V,AIR-RS,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Rotor skiff,Light,utility rotorcraft,Aviation / Sci-Fi,Flight,Rotor nacelles,Antimatter / Gravitic,Aero hull,1,2,5,0.82,7.3,7.9,2.5,3.5,384,0,0,0.0,0.0,1410,3.1,10,6,5,4,4,35,4,6,524,8.5,Rare,Restricted,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-31-T5,Probe Bay Mk V,5670,100372,125513,"Rotor skiff base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-025,Pulse Laser Mk 5-L,WL-425,Flak Cloud Dispenser Mk 5-L,19976,10.4,19.4,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,23.4,Line,25103,35144,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/air-rs,aetherion-rotor-skiff-mk-v,aerial,atmospheric-craft,rotor-skiff,utility-rotorcraft,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Rune skiff,V-ARC-RK-AER-T5,Aetherion Rune skiff Mk V,ARC-RK,AER,Aetherion Guild,5,Military,Mixed,Arcane Conveyances,Rune skiff,Light,arcane skiff,Fantasy / Arcane,Arcane,Runic levitation,Antimatter / Gravitic,Runewood,1,2,2,0.31,5.2,2.9,2.6,1.05,128,42,0,0.0,0.0,1823,10.5,9,7,6,4,5,37,4,7,592,8.2,Rare,Restricted,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-29-T5,Long-Range Tankage Mk V,5216,117790,135707,"Rune skiff base frame in the arcane conveyances family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-345,Siege Beam Mk 5-L,WL-340,Siege Beam Mk 4-L,100416,10.6,21.6,NAVY,SEC,restricted,46,Rare,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,25.6,Line,24427,37998,Regular,typeclasses.vehicles.Vehicle,vehicle/mixed/arc-rk,aetherion-rune-skiff-mk-v,mixed,arcane-conveyances,rune-skiff,arcane-skiff,military,rare,restricted,rare,prosperity,line,,,,upsert,True
Salvage sub,V-SUB-SV-AER-T5,Aetherion Salvage sub Mk V,SUB-SV,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Salvage sub,Medium,industrial recovery,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,8,11,7,18.51,19.2,6.1,6.4,103.18,69,76,2066,0.0,0.0,2503,29.1,7,8,6,6,4,164,6,11,2995,23.8,Very Rare,Restricted,OPT-19-T5,Expanded Cargo Pods Mk V,4082,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-32-T5,Science Lab Module Mk V,17296,562991,599472,"Salvage sub base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-226,Torpedo Tube Mk 5-M,WL-096,Missile Rack Mk 3-M,60332,19.8,30.8,MINE,DRIFT,civilian,46,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,35.0,Line,107905,167852,Regular,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-sv,aetherion-salvage-sub-mk-v,submersible,undersea-craft,salvage-sub,industrial-recovery,military,very-rare,restricted,rare,industrial,line,,,,upsert,True
